Название,Цена,Наличие,Ссылка
"Відеокарта MSI PCI-Ex GeForce RTX 5070 Inspire 3X OC 12GB GDDR7 (192bit) (2557/28000) (HDMI, 3 x DisplayPort) (RTX 5070 12G INSPIRE 3X OC)",33 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5070-12g-inspire-3x-oc/p485155474/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 3060 Windforce OC 12GB GDDR6 (192bit) (1792/15000) (2 х HDMI, 2 х DisplayPort) (GV-N3060WF2OC-12GD)",12 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n3060wf2oc-12gd/p360071712/
"Відеокарта MSI PCI-Ex GeForce RTX 5070 Ventus 2X OC 12GB GDDR7 (192bit) (2557/28000) (HDMI, 3 x DisplayPort) (RTX 5070 12G VENTUS 2X OC)",29 689₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5070-12g-ventus-2x-oc/p485168949/
"Відеокарта Golden Memory PCI-Ex GeForce GT730 2GB GDDR5 (128bit) (DVI, VGA, HDMI) (GT730D52G128bit)",1 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/golden-memory-gt730d52g128bit/p415634553/
"Відеокарта ASUS PCI-Ex GeForce RTX 3050 LP BRK OC Edition 6GB GDDR6 (96bit) (1537/14000) (HDMI, DisplayPort, DVI-D) (RTX3050-O6G-LP-BRK)",9 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-rtx3050-o6g-lp-brk/p422644044/
"Відеокарта INNO3D PCI-Ex GeForce RTX 3050 Twin X2 V2 8GB GDDR6 (128bit) (1777/14000) (HDMI, DisplayPort, DVI-D) (N30502-08D6-1711VA41)",,Є в наявності,https://hard.rozetka.com.ua/ua/inno3d-n30502-08d6-1711va41/p470332264/
"Відеокарта ASRock PCI-Ex Radeon RX 6600 Challenger D 8GB GDDR6 (128bit) (1626/14000) (HDMI, 3 x DisplayPort) (RX6600 CLD 8G)",9 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/asrock-rx6600-cld-8g/p327408241/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 4060 Eagle OC ICE 8GB GDDR6 (128bit) (2505/17000) (2 x HDMI, 2 x DisplayPort) (GV-N4060EAGLEOC ICE-8GD)",15 799₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n4060eagleoc-ice-8gd/p416174469/
"Відеокарта MSI PCI-Ex GeForce RTX 5060 Ti GAMING TRIO OC 16GB GDDR7 (128bit) (2662/28000) (HDMI, 3 x DisplayPort) (RTX 5060 Ti 16G GAMING TRIO OC)",,,https://hard.rozetka.com.ua/ua/msi-rtx-5060-ti-16g-gaming-trio-oc/p503972254/
"Відеокарта ASUS PCI-Ex Radeon RX 7800 XT TUF Gaming OC Edition 16GB GDDR6 (256bit) (2565/19500) (1 х HDMI, 3 x DisplayPort) (TUF-RX7800XT-O16G-GAMING)",29 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-tuf-rx7800xt-o16g-gaming/p395198988/
