Название,Цена,Наличие,Ссылка
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5060 Ti GAMING OC 8G 8GB GDDR7 (128bit) (2647/28000) (HDMI, 3 x DisplayPort) (GV-N506TGAMING OC-8GD)",,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n506tgaming-oc-8gd/p506830369/
"Відеокарта ASUS PCI-Ex GeForce RTX 5090 ROG Astral OC Edition 32GB GDDR7 (512bit) (2610/28000) (2 x HDMI, 3 x DisplayPort) (ROG-ASTRAL-RTX5090-O32G-GAMING)",153 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-rog-astral-rtx5090-o32g-gaming/p473239419/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5070 Ti Windforce OC SFF 16GB GDDR7 (256bit) (30000) (HDMI, 3 x DisplayPort) (GV-N507TWF3OC-16GD)",45 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n507twf3oc-16gd/p476638294/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 4060 Aero OC 8GB GDDR6 (128bit) (2550/17000) (2 x HDMI, 2 x DisplayPort) (GV-N4060AERO OC-8GD)",16 199₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n4060aero-oc-8gd/p385113642/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 4060 Egle OC 8GB GDDR6 (128bit) (17000) (2 x HDMI, 2 x DisplayPort) (GV-N4060EAGLE OC-8GD)",13 949₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n4060eagle-oc-8gd-10/p406435038/
"Відеокарта MSI PCI-Ex GeForce RTX 5090 Ventus 3X OC 32GB GDDR7 (512bit) (2452/28000) (HDMI, 3 x DisplayPort) (RTX 5090 32G VENTUS 3X OC)",137 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5090-32g-ventus-3x-oc/p476638609/
"Відеокарта MSI PCI-Ex GeForce RTX 3050 Ventus 2X XS 8G OC 8GB GDDR6 (128bit) (1807/14000) (HDMI, DisplayPort, DL-DVI-D) (RTX 3050 VENTUS 2X XS 8G OC)",9 909₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-3050-ventus-2x-xs-8g-oc/p400053201/
"Відеокарта Palit PCI-Ex GeForce RTX 5080 GamingPro OC 16GB GDDR7 (256bit) (2700/30000) (HDMI, 3 x DisplayPort) (NE75080S19T2-GB2031A)",57 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne75080s19t2-gb2031a/p477860574/
"Відеокарта ASUS PCI-Ex GeForce RTX 5090 TUF Gaming OC Edition 32GB GDDR7 (512bit) (2580/28000) (2 x HDMI, 3 x DisplayPort) (TUF-RTX5090-O32G-GAMING)",126 089₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-tuf-rtx5090-o32g-gaming/p473240819/
"Відеокарта MSI PCI-Ex GeForce RTX 5080 Vanguard SOC Launch Edition 16GB GDDR7 (256bit) (2745/30000) (HDMI, 3 x DisplayPort) (RTX 5080 16G VANGUARD SOC LAUNCH EDITION)",69 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5080-16g-vanguard-soc-launch-edition/p476715759/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5080 Windforce SFF 16GB GDDR7 (256bit) (2670/30000) (HDMI, 3 x DisplayPort) (GV-N5080WF3OC-16GD)",62 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n5080wf3oc-16gd/p476638264/
"Відеокарта MSI PCI-Ex GeForce RTX 5060 Ti GAMING OC 16GB GDDR7 (128bit) (2662/28000) (HDMI, 3 x DisplayPort) (RTX 5060 Ti 16G GAMING OC)",,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5060-ti-16g-gaming-oc/p503973009/
"Відеокарта Palit PCI-Ex GeForce RTX 5070 Ti GameRock OC 16GB GDDR7 (256bit) (2512/28000) (HDMI, 3 x DisplayPort) (NE7507TH19T2-GB2030G)",47 279₴,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne7507th19t2-gb2030g/p494829194/
"Відеокарта Asus PCI-Ex Radeon RX 6600 Dual V3 8GB GDDR6 (128bit) (2491/14000) (HDMI, 3 x DisplayPort) (DUAL-RX6600-8G-V3)",10 809₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rx6600-8g-v3/p456169579/
"Відеокарта MSI PCI-Ex GeForce GT 710 2048 MB DDR3 (64bit) (954/1600) (DVI, HDMI, VGA) (GT 710 2GD3H LP)",1 899₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi_gt_710_2gd3h_lp_roz/p7231336/
"Відеокарта Sapphire PCI-Ex Radeon RX 7800 XT Pulse 16GB GDDR6 (256bit) (2430/19500) (2 х HDMI, 2 x DisplayPort) (11330-02-20G)",25 199₴,Є в наявності,https://hard.rozetka.com.ua/ua/sapphire-11330-02-20g/p400055958/
"Відеокарта ASUS PCI-Ex Radeon RX 7800 XT Dual OC Edition 16GB GDDR6 (256bit) (2520/19500) (1 х HDMI, 3 x DisplayPort) (DUAL-RX7800XT-O16G)",24 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-dual-rx7800xt-o16g/p418433019/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5070 Aorus Master 12GB GDDR7 (192bit) (28000) (HDMI, 3 x DisplayPort) (GV-N5070AORUS M-12GD)",,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n5070aorus-m-12gd/p476638299/
"Відеокарта MSI PCI-Ex GeForce RTX 4060 Ventus 2X WHITE 8G OC 8GB GDDR6 (128bit) (2505/17000) (HDMI, 3 x DisplayPort) (RTX 4060 VENTUS 2X WHITE 8G OC)",14 809₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-4060-ventus-2x-white-8g-oc/p404338764/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5060 Ti EAGLE OC 16G 16GB GDDR7 (128bit) (2617/28000) (HDMI, 3 x DisplayPort) (GV-N506TEAGLE OC-16GD)",,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n506teagle-oc-16gd/p502583314/
"Відеокарта Sparkle PCI-Ex Intel Arc B580 Guardian 12GB GDDR6 (192bit) (2670) (HDMI, 3 x DisplayPort) (SB580G-12G)",14 609₴,Є в наявності,https://hard.rozetka.com.ua/ua/sparkle-sb580g-12g/p479668754/
"Відеокарта ASUS PCI-Ex GeForce RTX 5080 ROG Astral OC Edition 16GB GDDR7 (256bit) (2 x HDMI, 3 x DisplayPort) (ROG-ASTRAL-RTX5080-O16G-GAMING)",74 359₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-rog-astral-rtx5080-o16g-gaming/p471415334/
"Відеокарта ASUS PCI-Ex Radeon RX 9070 PRIME OC Edition 16GB GDDR6 (256bit) (20000) (HDMI, 3 x DisplayPort) (PRIME-RX9070-O16G)",33 079₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-prime-rx9070-o16g/p473293649/
"Відеокарта Palit PCI-Ex GeForce RTX 5080 GameRock 16GB GDDR7 (256bit) (2617/30000) (HDMI, 3 x DisplayPort) (NE75080019T2-GB2030G)",58 309₴,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne75080019t2-gb2030g/p477863124/
"Відеокарта Palit PCI-Ex GeForce RTX 5070 Ti GamingPro 16GB GDDR7 (256bit) (2452/28000) (HDMI, 3 x DisplayPort) (NE7507T019T2-GB2031A)",43 339₴,Є в наявності,https://hard.rozetka.com.ua/ua/palit-ne7507t019t2-gb2031a/p494839669/
"Відеокарта ASUS PCI-Ex GeForce RTX 5070 TUF Gaming OC Edition 12GB GDDR7 (192bit) (28000) (2 x HDMI, 3 x DisplayPort) (TUF-RTX5070-O12G-GAMING)",37 889₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-tuf-rtx5070-o12g-gaming/p485965334/
"Відеокарта MSI PCI-Ex GeForce RTX 5090 Gaming TRIO OC 32GB GDDR7 (512bit) (2497/28000) (HDMI, 3 x DisplayPort) (RTX 5090 32G GAMING TRIO OC)",133 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5090-32g-gaming-trio-oc/p476623329/
"Відеокарта ASUS PCI-Ex GeForce RTX 5060 Ti PRIME OC Edition 8GB GDDR7 (128bit) (2647/28000) (HDMI, 3 x DisplayPort) (PRIME-RTX5060TI-O8G)",23 189₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-prime-rtx5060ti-o8g/p502696184/
Відеокарта Asus PCI-Ex GeForce GT 730 2048MB GDDR5 (64bit) (902/5010) (4 x HDMI) (GT730-4H-SL-2GD5),3 299₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-gt730-4h-sl-2gd5/p334825057/
"Відеокарта MSI PCI-Ex GeForce RTX 5080 VENTUS 3X OC WHITE 16GB GDDR7 (256bit) (2655/30000) (HDMI, 3 x DisplayPort) (RTX 5080 16G VENTUS 3X OC WHITE)",60 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5080-16g-ventus-3x-oc-white/p490829739/
"Відеокарта MSI PCI-Ex GeForce RTX 5060 Ti VENTUS 2X OC PLUS 8GB GDDR7 (128bit) (2617/28000) (HDMI, 3 x DisplayPort) (RTX 5060 Ti 8G VENTUS 2X OC PLUS)",,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5060-ti-8g-ventus-2x-oc-plus/p506748354/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5060 Ti GAMING OC 16G 16GB GDDR7 (128bit) (2647/28000) (HDMI, 3 x DisplayPort) (GV-N506TGAMING OC-16GD)",,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n506tgaming-oc-16gd/p506716134/
"Відеокарта Golden Memory PCI-Ex GeForce G210 1GB DDR3 (64bit) (DVI, VGA, HDMI) (G2101GBD364bit)",,Є в наявності,https://hard.rozetka.com.ua/ua/golden-memory-g2101gbd364bit/p415613274/
"Відеокарта Gigabyte PCI-Ex GeForce RTX 5080 Gaming OC 16GB GDDR7 (256bit) (2730/30000) (HDMI, 3 x DisplayPort) (GV-N5080GAMING OC-16GD)",65 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/gigabyte-gv-n5080gaming-oc-16gd/p476638254/
"Відеокарта MSI PCI-Ex GeForce RTX 5070 Ti Inspire 3X OC Plus 16GB GDDR7 (256bit) (2497/28000) (HDMI, 3 x DisplayPort) (RTX 5070 Ti 16G INSPIRE 3X OC PLUS)",45 999₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5070-ti-16g-inspire-3x-oc-plus/p484696289/
"Відеокарта MSI PCI-Ex GeForce RTX 5080 GAMING TRIO OC 16GB GDDR7 (256bit) (2715/30000) (HDMI, 3 x DisplayPort) (RTX 5080 16G GAMING TRIO OC)",66 019₴,Є в наявності,https://hard.rozetka.com.ua/ua/msi-rtx-5080-16g-gaming-trio-oc/p476945369/
"Відеокарта ASUS PCI-Ex GeForce RTX 5070 Ti TUF Gaming OC Edition 16GB GDDR7 (256bit) (28000) (2 x HDMI, 3 x DisplayPort) (TUF-RTX5070TI-O16G-GAMING)",48 349₴,Є в наявності,https://hard.rozetka.com.ua/ua/asus-tuf-rtx5070ti-o16g-gaming/p473241124/
"Відеокарта AFOX PCI-Ex Radeon RX 550 4GB GDDR5 (128bit) (1183/6000) (DVI, HDMI, DisplayPort) (AFRX550-4096D5H4-V6)",3 729₴,Є в наявності,https://hard.rozetka.com.ua/ua/afox-afrx550-4096d5h4-v6/p332718775/
